empresa,codigoarticulo,codigoparticular,articulo,rubro,costo,preciopublico,marca,superrubro,gruposuperrubro,familia,ult_fechaingreso,color,silueta,sitioparapublicar,porcentajedescuento,web
Emp1,13,425047690-1,Pantalón de Entrenamiento Adidas Yellow,Moda,$304122.72,$304122.72,Adidas,Mujer,General,Q1 24,4/8/2024,Yellow,Pantalon,,,
Emp2,14,956122238-8,Remera de Compresión Adidas Aquamarine,Moda,$600292.60,$600292.60,Adidas,Mujer,General,Q2 24,30/9/2024,Aquamarine,Remera,,,
Emp2,15,101891850-7,Zapatillas Running Adidas Green,Moda,$332655.50,$332655.50,Adidas,Mujer,General,Q3 24,31/1/2024,Green,Calzado,,48.0,
Emp2,16,199924492-3,Pantalón Deportivo Adidas Khaki,Running,$602507.93,$602507.93,Adidas,Hombre,General,Q4 24,9/11/2024,Khaki,Pantalon,,,
Emp2,17,619546601-8,Remera de Running Adidas Purple,Running,$64323.81,$64323.81,Adidas,Hombre,General,Q1 24,6/5/2024,Purple,Remera,,,
Emp1,18,509862398-7,Jogger Deportivo Under Armour Maroon,Moda,$904918.50,$904918.50,Under Armour,Hombre,General,Q2 24,27/4/2024,Maroon,Pantalon,,,
Emp1,19,380488577-2,Zapatillas Running Adidas Indigo,Moda,$586411.39,$586411.39,Adidas,Mujer,General,Q3 24,30/1/2024,Indigo,Calzado,,23.0,
Emp2,20,022871299-8,Pantalón Deportivo Under Armour Pink,Running,$552426.12,$552426.12,Under Armour,Hombre,General,Q4 24,18/2/2024,Pink,Pantalon,,28.0,
Emp2,21,243961690-7,Camiseta Técnica Adidas Teal,Moda,$379800.01,$379800.01,Adidas,Mujer,Accesorios,Q1 24,21/6/2024,Teal,Remera,,,
Emp1,22,061313152-5,Pantalón de Entrenamiento Adidas Blue,Moda,$878589.91,$878589.91,Adidas,Mujer,General,Q2 24,29/12/2024,Blue,Pantalon,,,
Emp2,23,366451144-1,Zapatillas de Basket Adidas Crimson,Running,$135609.72,$135609.72,Adidas,Mujer,General,Q3 24,16/7/2024,Crimson,Calzado,,44.0,
Emp2,24,954717269-7,Jogger Deportivo Adidas Yellow,Running,$212004.99,$212004.99,Adidas,Hombre,Accesorios,Q4 24,24/2/2024,Yellow,Pantalon,,,
Emp1,25,780192867-9,Jogger Deportivo Adidas Green,Moda,$282496.03,$282496.03,Adidas,Mujer,General,Q1 24,19/9/2024,Green,Pantalon,,1.0,
Emp1,26,118413385-9,Remera de Compresión Adidas Mauv,Running,$113457.13,$113457.13,Adidas,Mujer,General,Q2 24,30/8/2024,Mauv,Remera,,,
Emp2,27,186842568-1,Remera de Running Under Armour Indigo,Moda,$182881.09,$182881.09,Under Armour,Mujer,Accesorios,Q3 24,6/10/2024,Indigo,Remera,,4.0,
Emp1,28,378340684-6,Zapatillas de Trail Nike Mauv,Running,$134701.94,$134701.94,Nike,Mujer,General,Q4 24,24/2/2024,Mauv,Calzado,,,
Emp2,29,784226565-8,Camiseta Técnica Under Armour Turquoise,Running,$294506.54,$294506.54,Under Armour,Hombre,General,Q1 24,17/9/2024,Turquoise,Remera,,,
Emp1,30,204747896-0,Jogger Deportivo Nike Maroon,Moda,$620693.49,$620693.49,Nike,Mujer,General,Q2 24,22/1/2024,Maroon,Pantalon,,,
Emp2,31,724243147-6,Camiseta Técnica Under Armour Teal,Moda,$361338.13,$361338.13,Under Armour,Mujer,Accesorios,Q3 24,29/1/2024,Teal,Remera,,2.0,
Emp1,32,840152202-1,Botines de Fútbol Adidas Khaki,Moda,$997008.15,$997008.15,Adidas,Mujer,General,Q4 24,9/9/2024,Khaki,Calzado,,,
Emp2,33,633068701-3,Remera de Compresión Adidas Blue,Running,$859870.74,$859870.74,Adidas,Hombre,General,Q1 24,6/5/2024,Blue,Remera,,,
Emp2,34,329260954-2,Jogger Deportivo Adidas Aquamarine,Running,$8647.45,$8647.45,Adidas,Niños,General,Q2 24,17/7/2024,Aquamarine,Pantalon,,,
Emp1,35,954529232-6,Botines de Fútbol Nike Green,Moda,$728737.88,$728737.88,Nike,Hombre,General,Q3 24,17/5/2024,Green,Calzado,,,
Emp2,36,194335112-0,Camiseta Técnica Adidas Purple,Moda,$351626.28,$351626.28,Adidas,Mujer,General,Q4 24,11/4/2024,Purple,Remera,,45.0,
Emp2,37,376936850-9,Camiseta Técnica Adidas Maroon,Moda,$670500.88,$670500.88,Adidas,Mujer,General,Q1 24,2/8/2024,Maroon,Remera,,,
Emp2,38,906662294-6,Camiseta Técnica Nike Maroon,Moda,$775370.00,$775370.00,Nike,Hombre,General,Q2 24,22/12/2024,Maroon,Remera,,,
Emp2,39,464097279-2,Botines de Fútbol Nike Mauv,Moda,$608227.49,$608227.49,Nike,Mujer,General,Q3 24,3/12/2024,Mauv,Calzado,,,
Emp1,40,781180293-7,Camiseta Técnica Nike Maroon,Moda,$683465.56,$683465.56,Nike,Hombre,General,Q4 24,5/6/2024,Maroon,Remera,,,
Emp1,41,638836646-5,Pantalón Deportivo Nike Orange,Moda,$19689.90,$19689.90,Nike,Niños,General,Q1 24,19/5/2024,Orange,Pantalon,,,
Emp2,42,287422385-9,Remera de Compresión Nike Purple,Moda,$940416.39,$940416.39,Nike,Mujer,General,Q2 24,22/3/2024,Purple,Remera,,,
Emp2,43,936689876-9,Pantalón de Entrenamiento Nike Goldenrod,Moda,$64902.28,$64902.28,Nike,Hombre,General,Q3 24,9/5/2024,Goldenrod,Pantalon,,,
Emp1,44,494000004-4,Camiseta Técnica Nike Crimson,Running,$773652.95,$773652.95,Nike,Mujer,General,Q4 24,16/11/2024,Crimson,Remera,,40.0,
Emp2,45,472523557-1,Pantalón Deportivo Nike Fuscia,Moda,$219038.07,$219038.07,Nike,Niños,General,Q1 24,24/2/2024,Fuscia,Pantalon,,,
Emp1,46,308651802-2,Pantalón Deportivo Under Armour Maroon,Deporte,$80234.64,$80234.64,Under Armour,Mujer,General,Q2 24,12/10/2024,Maroon,Pantalon,,26.0,
Emp1,47,893637173-8,Pantalón de Entrenamiento Under Armour Violet,Moda,$10001.56,$10001.56,Under Armour,Niños,General,Q3 24,22/5/2024,Violet,Pantalon,,,
Emp2,48,125121246-8,Pantalón de Entrenamiento Under Armour Indigo,Moda,$590177.98,$590177.98,Under Armour,Mujer,General,Q4 24,12/6/2024,Indigo,Pantalon,,,
Emp1,49,366023302-1,Zapatillas Running Adidas Crimson,Deporte,$307470.63,$307470.63,Adidas,Mujer,General,Q1 24,7/6/2024,Crimson,Calzado,,,
Emp2,50,569484750-4,Pantalón de Entrenamiento Adidas Mauv,Deporte,$866947.65,$866947.65,Adidas,Hombre,Accesorios,Q2 24,16/8/2024,Mauv,Pantalon,,,
Emp2,51,750077709-4,Pantalón Deportivo Nike Mauv,Moda,$561516.66,$561516.66,Nike,Niños,General,Q3 24,28/5/2024,Mauv,Pantalon,,,
Emp1,52,215579979-9,Remera de Running Adidas Puce,Running,$234386.84,$234386.84,Adidas,Hombre,General,Q4 24,23/11/2024,Puce,Remera,,50.0,
Emp2,53,658335650-3,Zapatillas de Basket Adidas Purple,Moda,$829160.47,$829160.47,Adidas,Hombre,General,Q1 24,11/8/2024,Purple,Calzado,,,
Emp1,54,547110613-X,Remera de Running Nike Aquamarine,Running,$381738.39,$381738.39,Nike,Mujer,General,Q2 24,20/3/2024,Aquamarine,Remera,,,
Emp2,55,993262171-4,Camiseta Técnica Nike Purple,Moda,$115172.32,$115172.32,Nike,Mujer,Accesorios,Q3 24,30/9/2024,Purple,Remera,,,
Emp1,56,246562491-1,Zapatillas de Trail Nike Fuscia,Running,$853621.42,$853621.42,Nike,Mujer,General,Q4 24,14/7/2024,Fuscia,Calzado,,,
Emp1,57,705030141-8,Jogger Deportivo Adidas Green,Moda,$43406.24,$43406.24,Adidas,Mujer,General,Q1 24,27/4/2024,Green,Pantalon,,,
Emp2,58,377682933-8,Remera de Running Nike Mauv,Moda,$453366.35,$453366.35,Nike,Mujer,General,Q2 24,10/5/2024,Mauv,Remera,,,
Emp1,59,265488830-4,Pantalón de Entrenamiento Under Armour Goldenrod,Running,$911863.74,$911863.74,Under Armour,Hombre,General,Q3 24,24/6/2024,Goldenrod,Pantalon,,,
Emp1,60,258700130-7,Zapatillas de Trail Adidas Puce,Running,$201430.72,$201430.72,Adidas,Mujer,General,Q4 24,29/4/2024,Puce,Calzado,,,
Emp1,61,395596398-5,Zapatillas de Basket Adidas Purple,Moda,$633199.43,$633199.43,Adidas,Hombre,General,Q1 24,8/10/2024,Purple,Calzado,,,
Emp2,62,330833117-9,Jogger Deportivo Adidas Red,Moda,$297688.36,$297688.36,Adidas,Hombre,General,Q2 24,22/8/2024,Red,Pantalon,,,
Emp2,63,263421367-0,Pantalón de Entrenamiento Nike Aquamarine,Deporte,$907954.07,$907954.07,Nike,Mujer,General,Q3 24,5/10/2024,Aquamarine,Pantalon,,,
Emp2,64,782783134-6,Pantalón Deportivo Adidas Crimson,Moda,$918296.47,$918296.47,Adidas,Hombre,General,Q4 24,10/11/2024,Crimson,Pantalon,,,
Emp1,65,604505944-1,Zapatillas Running Adidas Red,Moda,$638839.14,$638839.14,Adidas,Mujer,General,Q1 24,15/10/2024,Red,Calzado,,,
Emp1,66,681913453-3,Pantalón Deportivo Adidas Teal,Moda,$642070.01,$642070.01,Adidas,Mujer,General,Q2 24,28/2/2024,Teal,Pantalon,,,
Emp2,67,695377387-1,Camiseta Técnica Adidas Blue,Moda,$831824.29,$831824.29,Adidas,Mujer,Accesorios,Q3 24,5/9/2024,Blue,Remera,,,
Emp2,68,093482139-9,Zapatillas de Basket Under Armour Crimson,Running,$646648.39,$646648.39,Under Armour,Mujer,General,Q4 24,21/1/2024,Crimson,Calzado,,4.0,
Emp1,69,680096173-6,Botines de Fútbol Adidas Goldenrod,Moda,$932396.13,$932396.13,Adidas,Niños,General,Q1 24,22/6/2024,Goldenrod,Calzado,,,
Emp1,70,285272728-5,Pantalón de Entrenamiento Adidas Pink,Moda,$355938.43,$355938.43,Adidas,Mujer,General,Q2 24,28/8/2024,Pink,Pantalon,,,
Emp1,71,439953290-4,Zapatillas de Basket Nike Turquoise,Moda,$741988.96,$741988.96,Nike,Mujer,General,Q3 24,24/12/2024,Turquoise,Calzado,,,
Emp1,72,802355334-8,Botines de Fútbol Under Armour Purple,Deporte,$127848.06,$127848.06,Under Armour,Mujer,General,Q4 24,27/5/2024,Purple,Calzado,,,
Emp1,73,802049483-9,Botines de Fútbol Adidas Turquoise,Moda,$614865.36,$614865.36,Adidas,Niños,General,Q1 24,24/1/2024,Turquoise,Calzado,,42.0,
Emp1,74,499439460-1,Jogger Deportivo Nike Purple,Moda,$664861.70,$664861.70,Nike,Mujer,General,Q2 24,19/12/2024,Purple,Pantalon,,,
Emp1,75,295712580-3,Remera de Compresión Adidas Green,Moda,$172612.22,$172612.22,Adidas,Hombre,General,Q3 24,27/3/2024,Green,Remera,,,
Emp1,76,890786912-X,Camiseta Técnica Adidas Blue,Running,$739695.96,$739695.96,Adidas,Hombre,General,Q4 24,12/2/2024,Blue,Remera,,,
Emp2,77,553151547-2,Botines de Fútbol Adidas Khaki,Running,$994585.93,$994585.93,Adidas,Mujer,General,Q1 24,20/4/2024,Khaki,Calzado,,,
Emp1,78,329633900-0,Remera de Running Adidas Khaki,Deporte,$587158.49,$587158.49,Adidas,Niños,General,Q2 24,12/6/2024,Khaki,Remera,,,
Emp1,79,449069231-5,Zapatillas Running Nike Puce,Moda,$396727.09,$396727.09,Nike,Hombre,General,Q3 24,30/11/2024,Puce,Calzado,,,
Emp1,80,393445888-2,Zapatillas Running Nike Maroon,Running,$605860.53,$605860.53,Nike,Mujer,General,Q4 24,8/8/2024,Maroon,Calzado,,,
Emp2,81,316734277-3,Remera de Running Adidas Green,Moda,$839177.25,$839177.25,Adidas,Mujer,General,Q1 24,20/8/2024,Green,Remera,,,
Emp1,82,274708645-3,Jogger Deportivo Adidas Goldenrod,Moda,$895519.96,$895519.96,Adidas,Mujer,General,Q2 24,25/4/2024,Goldenrod,Pantalon,,,
Emp1,83,111000518-0,Camiseta Técnica Adidas Purple,Moda,$691459.23,$691459.23,Adidas,Hombre,General,Q3 24,17/5/2024,Purple,Remera,,,
Emp2,84,382920074-9,Jogger Deportivo Adidas Puce,Moda,$557738.86,$557738.86,Adidas,Mujer,General,Q4 24,1/6/2024,Puce,Pantalon,,,
Emp2,85,229074161-2,Pantalón Deportivo Adidas Pink,Moda,$248962.12,$248962.12,Adidas,Mujer,General,Q1 24,17/9/2024,Pink,Pantalon,,17.0,
Emp1,86,674367527-X,Botines de Fútbol Adidas Fuscia,Moda,$544934.32,$544934.32,Adidas,Hombre,Accesorios,Q2 24,24/6/2024,Fuscia,Calzado,,,
Emp2,87,314187053-5,Zapatillas de Trail Adidas Orange,Running,$868158.28,$868158.28,Adidas,Mujer,General,Q3 24,29/3/2024,Orange,Calzado,,,
Emp2,88,025276845-0,Pantalón Deportivo Adidas Pink,Moda,$368324.75,$368324.75,Adidas,Mujer,General,Q4 24,1/9/2024,Pink,Pantalon,,,
Emp2,89,069135474-X,Pantalón Deportivo Under Armour Turquoise,Running,$993755.95,$993755.95,Under Armour,Mujer,General,Q1 24,17/11/2024,Turquoise,Pantalon,,,
Emp1,90,970625599-0,Zapatillas Running Nike Goldenrod,Running,$4602.35,$4602.35,Nike,Mujer,General,Q2 24,3/4/2024,Goldenrod,Calzado,,7.0,
Emp2,91,788394317-0,Pantalón Deportivo Under Armour Orange,Running,$621061.10,$621061.10,Under Armour,Mujer,General,Q3 24,17/9/2024,Orange,Pantalon,,,
Emp1,92,361086600-4,Pantalón Deportivo Adidas Aquamarine,Moda,$12969.45,$12969.45,Adidas,Hombre,General,Q4 24,20/12/2024,Aquamarine,Pantalon,,,
Emp1,93,477014506-3,Remera de Running Adidas Red,Moda,$448724.49,$448724.49,Adidas,Mujer,General,Q1 24,17/8/2024,Red,Remera,,,
Emp1,94,481374134-7,Botines de Fútbol Adidas Goldenrod,Running,$745344.45,$745344.45,Adidas,Hombre,General,Q2 24,11/12/2024,Goldenrod,Calzado,,38.0,
Emp1,95,997676172-4,Remera de Running Adidas Pink,Moda,$325641.95,$325641.95,Adidas,Mujer,General,Q3 24,14/4/2024,Pink,Remera,,11.0,
Emp2,96,391943566-4,Zapatillas Running Nike Green,Running,$777156.58,$777156.58,Nike,Mujer,Accesorios,Q4 24,28/11/2024,Green,Calzado,,18.0,
Emp2,97,013487401-3,Pantalón de Entrenamiento Adidas Goldenrod,Moda,$750584.84,$750584.84,Adidas,Hombre,General,Q1 24,8/11/2024,Goldenrod,Pantalon,,,
Emp2,98,657441081-9,Remera de Compresión Nike Fuscia,Moda,$153108.68,$153108.68,Nike,Hombre,General,Q2 24,10/12/2024,Fuscia,Remera,,,
Emp2,99,349194528-3,Remera de Running Under Armour Violet,Running,$672644.55,$672644.55,Under Armour,Hombre,General,Q3 24,24/10/2024,Violet,Remera,,,
Emp2,100,540758732-7,Zapatillas de Basket Adidas Khaki,Moda,$720965.73,$720965.73,Adidas,Mujer,Accesorios,Q4 24,16/2/2024,Khaki,Calzado,,32.0,
Emp2,101,302707164-5,Pantalón Deportivo Nike Puce,Deporte,$815042.37,$815042.37,Nike,Mujer,General,Q1 24,2/6/2024,Puce,Pantalon,,25.0,
Emp1,102,366474344-X,Pantalón Deportivo Adidas Blue,Running,$925374.01,$925374.01,Adidas,Mujer,Accesorios,Q2 24,15/5/2024,Blue,Pantalon,,,
Emp2,103,615144230-X,Botines de Fútbol Adidas Crimson,Moda,$557860.97,$557860.97,Adidas,Mujer,General,Q3 24,4/11/2024,Crimson,Calzado,,,
Emp1,104,458649133-7,Zapatillas de Basket Nike Mauv,Moda,$836169.78,$836169.78,Nike,Mujer,General,Q4 24,11/9/2024,Mauv,Calzado,,,
Emp2,105,907991669-2,Camiseta Técnica Adidas Aquamarine,Moda,$14915.31,$14915.31,Adidas,Mujer,General,Q1 24,18/2/2024,Aquamarine,Remera,,1.0,
Emp2,106,791617075-2,Camiseta Técnica Adidas Red,Moda,$303903.30,$303903.30,Adidas,Niños,General,Q2 24,17/2/2024,Red,Remera,,45.0,
Emp1,107,577229339-7,Remera de Compresión Under Armour Khaki,Deporte,$976284.61,$976284.61,Under Armour,Hombre,General,Q3 24,22/2/2024,Khaki,Remera,,,
Emp2,108,184088793-1,Jogger Deportivo Adidas Goldenrod,Deporte,$588909.28,$588909.28,Adidas,Hombre,Accesorios,Q4 24,14/3/2024,Goldenrod,Pantalon,,18.0,
Emp1,109,884625998-X,Zapatillas de Trail Under Armour Red,Moda,$770370.23,$770370.23,Under Armour,Mujer,General,Q1 24,27/1/2024,Red,Calzado,,,
Emp2,110,480336184-3,Pantalón de Entrenamiento Adidas Puce,Moda,$229491.44,$229491.44,Adidas,Hombre,General,Q2 24,21/4/2024,Puce,Pantalon,,19.0,
Emp2,111,520043849-7,Botines de Fútbol Under Armour Fuscia,Moda,$539729.36,$539729.36,Under Armour,Mujer,General,Q3 24,13/3/2024,Fuscia,Calzado,,,
Emp2,112,971963663-7,Jogger Deportivo Adidas Green,Moda,$172161.29,$172161.29,Adidas,Hombre,General,Q4 24,4/1/2024,Green,Pantalon,,,
Emp2,113,814007937-5,Botines de Fútbol Nike Khaki,Running,$149323.22,$149323.22,Nike,Hombre,General,Q1 24,19/2/2024,Khaki,Calzado,,,
Emp1,114,760145298-0,Jogger Deportivo Adidas Violet,Moda,$840887.72,$840887.72,Adidas,Niños,General,Q2 24,31/8/2024,Violet,Pantalon,,,
Emp2,115,294717595-6,Camiseta Técnica Nike Crimson,Moda,$820706.39,$820706.39,Nike,Hombre,General,Q3 24,4/7/2024,Crimson,Remera,,,
Emp2,116,343631208-8,Remera de Compresión Nike Red,Running,$349895.71,$349895.71,Nike,Niños,Accesorios,Q4 24,10/12/2024,Red,Remera,,,
Emp2,117,883371219-2,Remera de Compresión Adidas Violet,Deporte,$123990.08,$123990.08,Adidas,Mujer,General,Q1 24,16/6/2024,Violet,Remera,,,
Emp1,118,604371299-7,Camiseta Técnica Adidas Mauv,Deporte,$155839.55,$155839.55,Adidas,Hombre,General,Q2 24,11/11/2024,Mauv,Remera,,,
Emp1,119,749744352-6,Remera de Compresión Under Armour Mauv,Moda,$568808.61,$568808.61,Under Armour,Hombre,General,Q3 24,5/8/2024,Mauv,Remera,,,
Emp2,120,097135112-0,Remera de Running Adidas Crimson,Running,$125444.26,$125444.26,Adidas,Mujer,General,Q4 24,11/10/2024,Crimson,Remera,,,
Emp1,121,518942872-9,Botines de Fútbol Nike Fuscia,Running,$641054.20,$641054.20,Nike,Mujer,General,Q1 24,7/7/2024,Fuscia,Calzado,,,
Emp1,122,717154654-3,Zapatillas de Trail Adidas Turquoise,Moda,$200563.44,$200563.44,Adidas,Mujer,General,Q2 24,26/6/2024,Turquoise,Calzado,,,
Emp1,123,159426197-0,Pantalón Deportivo Nike Aquamarine,Moda,$580695.46,$580695.46,Nike,Niños,General,Q3 24,28/10/2024,Aquamarine,Pantalon,,,
Emp1,124,190687922-2,Jogger Deportivo Adidas Orange,Running,$459650.83,$459650.83,Adidas,Hombre,Accesorios,Q4 24,10/9/2024,Orange,Pantalon,,,
Emp2,125,230872699-7,Camiseta Técnica Nike Teal,Running,$437321.71,$437321.71,Nike,Mujer,General,Q1 24,7/1/2024,Teal,Remera,,14.0,
Emp2,126,880308809-1,Zapatillas de Basket Nike Teal,Moda,$647985.53,$647985.53,Nike,Mujer,Accesorios,Q2 24,22/5/2024,Teal,Calzado,,,
Emp2,127,760389741-6,Zapatillas de Trail Nike Aquamarine,Moda,$158062.02,$158062.02,Nike,Hombre,General,Q3 24,10/12/2024,Aquamarine,Calzado,,,
Emp2,128,863824440-1,Camiseta Técnica Adidas Fuscia,Moda,$547871.54,$547871.54,Adidas,Hombre,General,Q4 24,30/11/2024,Fuscia,Remera,,2.0,
Emp1,129,237629715-X,Camiseta Técnica Adidas Crimson,Moda,$60361.62,$60361.62,Adidas,Mujer,General,Q1 24,13/3/2024,Crimson,Remera,,,
Emp1,130,579716555-4,Pantalón de Entrenamiento Under Armour Blue,Moda,$580887.50,$580887.50,Under Armour,Mujer,Accesorios,Q2 24,14/4/2024,Blue,Pantalon,,,
Emp2,131,004249225-4,Zapatillas de Trail Adidas Teal,Running,$822420.97,$822420.97,Adidas,Hombre,General,Q3 24,8/9/2024,Teal,Calzado,,,
Emp2,132,561953327-1,Pantalón Deportivo Adidas Pink,Running,$96066.12,$96066.12,Adidas,Hombre,General,Q4 24,27/7/2024,Pink,Pantalon,,,
Emp1,133,879838545-3,Remera de Running Nike Teal,Running,$48140.05,$48140.05,Nike,Hombre,General,Q1 24,22/4/2024,Teal,Remera,,,
Emp1,134,517860029-0,Jogger Deportivo Adidas Yellow,Moda,$573627.92,$573627.92,Adidas,Hombre,General,Q2 24,1/3/2024,Yellow,Pantalon,,,
Emp1,135,444936040-0,Zapatillas de Trail Adidas Turquoise,Moda,$905778.43,$905778.43,Adidas,Mujer,General,Q3 24,2/12/2024,Turquoise,Calzado,,,
Emp2,136,710489084-X,Zapatillas Running Nike Blue,Moda,$10240.30,$10240.30,Nike,Mujer,Accesorios,Q4 24,1/12/2024,Blue,Calzado,,7.0,
Emp2,137,086334507-7,Zapatillas Running Adidas Green,Moda,$236284.60,$236284.60,Adidas,Mujer,General,Q1 24,21/1/2024,Green,Calzado,,,
Emp2,138,659052907-8,Remera de Running Adidas Yellow,Deporte,$883352.78,$883352.78,Adidas,Mujer,General,Q2 24,28/8/2024,Yellow,Remera,,,
Emp2,139,178032235-6,Pantalón de Entrenamiento Under Armour Pink,Moda,$404139.37,$404139.37,Under Armour,Hombre,General,Q3 24,16/8/2024,Pink,Pantalon,,2.0,
Emp1,140,350501066-9,Remera de Compresión Nike Yellow,Running,$250233.81,$250233.81,Nike,Niños,General,Q4 24,20/12/2024,Yellow,Remera,,,
Emp2,141,244819191-3,Remera de Compresión Nike Orange,Moda,$31486.30,$31486.30,Nike,Niños,General,Q1 24,29/10/2024,Orange,Remera,,,
Emp1,142,050788543-0,Zapatillas de Trail Nike Orange,Running,$884123.33,$884123.33,Nike,Hombre,General,Q2 24,23/11/2024,Orange,Calzado,,13.0,
Emp1,143,832950387-9,Zapatillas Running Nike Red,Running,$2517.46,$2517.46,Nike,Hombre,General,Q3 24,13/6/2024,Red,Calzado,,,
Emp1,144,585143601-8,Remera de Running Under Armour Khaki,Moda,$504596.91,$504596.91,Under Armour,Hombre,Accesorios,Q4 24,26/7/2024,Khaki,Remera,,,
Emp1,145,044560920-6,Pantalón de Entrenamiento Adidas Orange,Running,$271412.23,$271412.23,Adidas,Hombre,General,Q1 24,11/12/2024,Orange,Pantalon,,,
Emp2,146,526164117-9,Remera de Compresión Nike Aquamarine,Running,$299150.70,$299150.70,Nike,Mujer,General,Q2 24,20/5/2024,Aquamarine,Remera,,14.0,
Emp2,147,140687974-6,Zapatillas Running Adidas Mauv,Moda,$895204.95,$895204.95,Adidas,Mujer,General,Q3 24,5/3/2024,Mauv,Calzado,,,
Emp2,148,255680021-6,Zapatillas de Trail Adidas Orange,Moda,$361337.33,$361337.33,Adidas,Mujer,Accesorios,Q4 24,25/1/2024,Orange,Calzado,,,
Emp1,149,829647199-X,Zapatillas de Trail Nike Turquoise,Moda,$963950.71,$963950.71,Nike,Mujer,General,Q1 24,11/12/2024,Turquoise,Calzado,,,
Emp2,150,420965420-5,Pantalón Deportivo Adidas Aquamarine,Running,$373056.65,$373056.65,Adidas,Mujer,General,Q2 24,27/11/2024,Aquamarine,Pantalon,,45.0,
Emp2,151,398560788-5,Zapatillas de Basket Under Armour Mauv,Running,$896819.56,$896819.56,Under Armour,Hombre,General,Q3 24,5/6/2024,Mauv,Calzado,,,
Emp2,152,299142165-7,Remera de Compresión Adidas Yellow,Moda,$965239.54,$965239.54,Adidas,Niños,General,Q4 24,5/2/2024,Yellow,Remera,,,
Emp2,153,328426992-4,Zapatillas Running Adidas Maroon,Moda,$621674.21,$621674.21,Adidas,Hombre,General,Q1 24,29/12/2024,Maroon,Calzado,,,
Emp2,154,366420383-6,Remera de Compresión Under Armour Mauv,Moda,$85306.37,$85306.37,Under Armour,Mujer,Accesorios,Q2 24,30/10/2024,Mauv,Remera,,43.0,
Emp1,155,126313707-5,Jogger Deportivo Nike Green,Moda,$953674.92,$953674.92,Nike,Hombre,Accesorios,Q3 24,18/3/2024,Green,Pantalon,,,
Emp1,156,532058311-7,Botines de Fútbol Nike Mauv,Running,$849011.80,$849011.80,Nike,Mujer,General,Q4 24,5/9/2024,Mauv,Calzado,,,
Emp1,157,568877090-2,Zapatillas de Basket Adidas Violet,Running,$253162.29,$253162.29,Adidas,Mujer,General,Q1 24,14/8/2024,Violet,Calzado,,,
Emp1,158,286865959-4,Zapatillas de Basket Adidas Indigo,Moda,$392057.35,$392057.35,Adidas,Mujer,General,Q2 24,7/9/2024,Indigo,Calzado,,,
Emp1,159,111219021-X,Pantalón Deportivo Nike Puce,Deporte,$610363.48,$610363.48,Nike,Hombre,Accesorios,Q3 24,20/8/2024,Puce,Pantalon,,,
Emp2,160,294112295-8,Camiseta Técnica Adidas Teal,Moda,$714242.33,$714242.33,Adidas,Mujer,General,Q4 24,2/8/2024,Teal,Remera,,,
Emp2,161,265589120-1,Remera de Running Adidas Purple,Deporte,$95421.96,$95421.96,Adidas,Hombre,General,Q1 24,30/7/2024,Purple,Remera,,17.0,
